Organisation,SctrCluster,SubSctr,Cntry,Region,Province,Municipality,Barangay,PlaceName,Activity,MtrlsSrcPrvd,PrmryBnfcry,Status,ProvinceCODE,PCODE,MncpltyCODE,MncpltyCODE,BarangayCODE,N.PrmyBnfcrs,StartDate,EndDate
Global Medic,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Botongan / CAMP,No Data,No Data,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,5,23.11.13,
GOAL,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CARLES,No Data,No Data,TBD,No Data,No Data,Planned,63000000,630,63014000,No Data,No Data,5,,
GOAL,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,No Data,No Data,TBD,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,5,,
GOAL,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (CAPITAL),No Data,No Data,tarpaulins - 1 per HH,No Data,No Data,Completed,83700000,837,83747000,No Data,No Data,3680,,
Habitat for Humanity,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,BANTAYAN,"Botong, TBD",No Data,tools and tarps,No Data,evacuation center (displaced); informal camp (displaced),Ongoing,72200000,722,72209000,No Data,No Data,23000,14/11/13,TBA
Habitat for Humanity,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,TBD,No Data,tools and tarps,No Data,TBA,Planned,82600000,826,82609000,No Data,No Data,23000,TBA,TBA
Habitat for Humanity,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,0,TBD,No Data,tools and tarps,No Data,TBA,Planned,72200000,722,No Data,No Data,No Data,18400,TBA,TBA
Habitat for Humanity,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,GUIUAN,No Data,No Data,tools and tarps,No Data,No Data,Completed,82600000,826,82609000,No Data,No Data,1150,,
HEKS,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,0,No Data,No Data,construction materials,No Data,No Data,Planned,60400000,604,No Data,No Data,No Data,2300,23.11.13,23.01.14
HEKS,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,0,No Data,No Data,construction materials,No Data,No Data,Planned,60400000,604,No Data,No Data,No Data,2300,23.11.13,23.01.14
HEKS,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PILAR,,No Data,transitional shelters,No Data,No Data,Planned,61900000,619,61911000,No Data,No Data,1150,23.11.13,23.01.14
HEKS,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PILAR,,No Data,transitional shelters,No Data,No Data,Planned,61900000,619,61911000,No Data,No Data,1150,23.11.13,23.01.14
Humanity First,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Olotyan,No Data,NFI - household kits,No Data,No Data,Ongoing,63000000,630,63019000,No Data,No Data,230,,
Humanity First,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Olotyan,No Data,construction materials,No Data,No Data,Ongoing,63000000,630,63019000,No Data,No Data,230,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (CAPITAL),No Data,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61914000,No Data,No Data,13800,29.11.13,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PILAR,Dulungan,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61911000,No Data,No Data,1380,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PILAR,Dadivas,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61911000,No Data,No Data,920,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PONTEVEDRA,Dona Victoria Cortes Memorial School,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61912000,No Data,No Data,1012,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PONTEVEDRA,Pontevedra National HS,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61912000,No Data,No Data,2300,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PONTEVEDRA,Kanagkaan Elem School,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61912000,No Data,No Data,1012,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PONTEVEDRA,,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61912000,No Data,No Data,1518,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,CONCEPCION,No Data,No Data,NFI - household kits,No Data,No Data,Planned,63000000,630,63015000,No Data,No Data,920,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SARA,No Data,No Data,NFI - household kits,No Data,No Data,Planned,63000000,630,63044000,No Data,No Data,1123,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,,No Data,NFI - household kits,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,5,,
IOM,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,ORMOC CITY,Evacuation centres,No Data,NFI - household kits,No Data,No Data,Completed,83700000,837,83738000,No Data,No Data,1831,,
IOM,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (CAPITAL),No Data,No Data,tools and tarps,No Data,No Data,Completed,83700000,837,83747000,No Data,No Data,21354,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,LIBACAO,No Data,No Data,No Data,No Data,No Data,Ongoing,60400000,604,60409000,No Data,No Data,5,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,BATAN,No Data,No Data,No Data,No Data,No Data,Ongoing,60400000,604,60404000,No Data,No Data,5,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,ALTAVAS,No Data,No Data,No Data,No Data,No Data,Ongoing,60400000,604,60401000,No Data,No Data,5,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,CUARTERO,No Data,No Data,No Data,No Data,No Data,Ongoing,61900000,619,61901000,No Data,No Data,5,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,JAMINDAN,No Data,No Data,No Data,No Data,No Data,Ongoing,61900000,619,61906000,No Data,No Data,5,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,SAPI-AN,No Data,No Data,No Data,No Data,No Data,Ongoing,61900000,619,61915000,No Data,No Data,5,,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANAY,Linao,No Data,tarpaulins - 1 per HH,No Data,No Data,Planned,61900000,619,61909000,No Data,No Data,1150,04.12.13,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANAY,Linao,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61909000,No Data,No Data,1150,04.12.13,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANAY,Linao,No Data,NFI - kitchen sets,No Data,No Data,Planned,61900000,619,61909000,No Data,No Data,1150,04.12.13,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANAY,Lus-onan,No Data,tarpaulins - 1 per HH,No Data,No Data,Planned,61900000,619,61909000,No Data,No Data,1840,04.12.13,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANAY,Lus-onan,No Data,NFI - household kits,No Data,No Data,Planned,61900000,619,61909000,No Data,No Data,1840,04.12.13,
IOM,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANAY,Lus-onan,No Data,NFI - kitchen sets,No Data,No Data,Planned,61900000,619,61909000,No Data,No Data,1840,04.12.13,
ISOH,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NEW WASHINGTON,No Data,No Data,TBD,No Data,No Data,Ongoing,60400000,604,60415000,No Data,No Data,5,,
People in Need,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,BANTAYAN,No Data,No Data,tools and tarps,No Data,tbd,Planned,72200000,722,72209000,No Data,No Data,4600,22.11.13,25.11.13
People in Need,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,SANTA FE,No Data,No Data,tools and tarps,No Data,tbd,Planned,72200000,722,72244000,No Data,No Data,5,tbd,tbd
People in Need,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,MADRIDEJOS,No Data,No Data,tools and tarps,No Data,tbd,Planned,72200000,722,72228000,No Data,No Data,5,tbd,tbd
People in Need,Emergency Shelter,No Data,Philippines,REGION VIII (EASTERN VISAYAS),LEYTE,0,No Data,No Data,tools and tarps,No Data,tbd,Planned,83700000,837,No Data,No Data,No Data,5,tbd,tbd
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Botongan / CAMP,No Data,cash,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,4600,23.11.13,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (CAPITAL),Dinginan,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61914000,No Data,No Data,2967,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (CAPITAL),Bago,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61914000,No Data,No Data,1426,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (CAPITAL),Balo,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61914000,No Data,No Data,3984,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (CAPITAL),Dayao,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61914000,No Data,No Data,1601,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,DUMARAO,Sagrada Fam,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61904000,No Data,No Data,2438,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,DUMARAO,Dacuton,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61904000,No Data,No Data,3639,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,DUMARAO,Calapawan,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61904000,No Data,No Data,1012,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,DUMARAO,Malonoy,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61904000,No Data,No Data,1049,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,DUMARAO,Bungsuan,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61904000,No Data,No Data,5074,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,DUMARAO,Traciano,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61904000,No Data,No Data,1192,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,DUMARAO,Sibariwan,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61904000,No Data,No Data,1854,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,DUMARAO,Gibato,No Data,tools and tarps,No Data,No Data,Planned,61900000,619,61904000,No Data,No Data,2724,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,TAPAZ,Rohas Otcho and upland Barangays,No Data,tools and tarps,No Data,No Data,Ongoing,61900000,619,61917000,No Data,No Data,23000,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Botongan: CAMP,No Data,cash,No Data,No Data,Ongoing,63000000,630,63019000,No Data,No Data,4600,,
PRC,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,No Data,No Data,construction materials,No Data,No Data,Ongoing,63000000,630,63019000,No Data,No Data,4600,,
PRC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,MADRIDEJOS,Bantayan,No Data,tools and tarps,No Data,No Data,Planned,72200000,722,72228000,No Data,No Data,4600,21.11.13,
PRC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,MADRIDEJOS,Santa Fe,No Data,tools and tarps,No Data,No Data,Planned,72200000,722,72228000,No Data,No Data,4600,23.11.13,
PRC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,0,No Data,No Data,tool kits,No Data,No Data,Planned,72200000,722,No Data,No Data,No Data,4600,25.11.13,
PRC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,0,No Data,No Data,construction materials,No Data,No Data,Planned,72200000,722,No Data,No Data,No Data,64400,25.11.13,
PRC,Emergency Shelter,No Data,Philippines,REGION VII (CENTRAL VISAYAS),CEBU,MADRIDEJOS,No Data,No Data,tools and tarps,No Data,No Data,Planned,72200000,722,72228000,No Data,No Data,1380,25.11.13,
