Organisation,SctrCluster,SubSctr,Cntry,Region,Province,Municipality,Barangay,PlaceName,Activity,MtrlsSrcPrvd,PrmryBnfcry,Status,ProvinceCODE,PCODE,MncpltyCODE,MncpltyCODE,BarangayCODE,N.PrmyBnfcrs,StartDate,EndDate
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BALASAN,Mamhut Norte,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63005000,No Data,No Data,1601,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BALASAN,Mamhut Sur,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63005000,No Data,No Data,1514,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Bayas,No Data,NFI - household kits,No Data,home based (non-displaced),Completed,63000000,630,63019000,No Data,No Data,2517,24.11.13,24.11.13
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Bayuyan,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63019000,No Data,No Data,4338,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Bulaquena,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63019000,No Data,No Data,3653,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Jolog,No Data,NFI - household kits,No Data,home based (non-displaced),Completed,63000000,630,63019000,No Data,No Data,437,21.11.13,21.11.13
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Poblacion Zone 1,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63019000,No Data,No Data,3142,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Poblacion Zone 2,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63019000,No Data,No Data,4163,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,San Roque,No Data,NFI - household kits,No Data,home based (non-displaced),Completed,63000000,630,63019000,No Data,No Data,1219,22.11.13,22.11.13
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,Tanza,No Data,NFI - household kits,No Data,home based (non-displaced),Completed,63000000,630,63019000,No Data,No Data,1776,20.11.13,20.11.13
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BATAD,Embarcedero,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63009000,No Data,No Data,1058,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BATAD,Banban,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63009000,No Data,No Data,387,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BATAD,Alisolong,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63009000,No Data,No Data,1316,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BATAD,Binon-an,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63009000,No Data,No Data,2070,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BATAD,Salong,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63009000,No Data,No Data,488,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,BATAD,Tanao,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63009000,No Data,No Data,2001,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Amayong,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,580,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Batuan,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,663,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Canas,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,700,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Madenlog,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,828,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Odiongan,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,778,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Tamaogi,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,884,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Bagacay,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,2277,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Agdaliran,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,1224,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Borongon,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,815,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Cubay,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,1449,,
SCI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,SAN DIONISIO,Hacienda Conchita,No Data,NFI - household kits,No Data,home based (non-displaced),Planned,63000000,630,63038000,No Data,No Data,1210,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,BOTONGON,No Data,Shelter Repair Kit,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,4315,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,DACULAN,No Data,Shelter Repair Kit,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,1831,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,GOGO,No Data,Shelter Repair Kit,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,2760,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,PAON,No Data,Shelter Repair Kit,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,2995,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Paliwan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,810,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Cubay South,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,654,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Pojo,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,948,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Cubay North,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,773,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Talisay,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,497,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Bagtason,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,391,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Igbalangao,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,635,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Ilaya,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,989,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Maray,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,253,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Sabang East,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,368,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Lindero,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,1449,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Guisijan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,1569,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Casit-an,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,690,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Cadahug,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,667,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Poblacion,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,874,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Oloc,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,663,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Capuyuan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,1127,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Jinalinan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,1091,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Poblacion,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,1003,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Palma,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,483,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Ipil,No Data,Shelter Repair Kit,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,920,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PRESIDENT ROXAS,BADIANGON,No Data,Shelter Repair Kit,No Data,No Data,Planned,61900000,619,61913000,No Data,No Data,2287,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PRESIDENT ROXAS,VIZCAYA,No Data,Shelter Repair Kit,No Data,No Data,Planned,61900000,619,61913000,No Data,No Data,2632,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANITAN,ENSENAGAN,No Data,Shelter Repair Kit,No Data,No Data,Planned,61900000,619,61910000,No Data,No Data,1325,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PANITAN,TINCUPON,No Data,Shelter Repair Kit,No Data,No Data,Planned,61900000,619,61910000,No Data,No Data,1656,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,MA-AYON,TAPULANG,No Data,Shelter Repair Kit,No Data,No Data,Planned,61900000,619,61907000,No Data,No Data,1647,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,MA-AYON,CABUNGAHAN,No Data,Shelter Repair Kit,No Data,No Data,Planned,61900000,619,61907000,No Data,No Data,1647,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,MA-AYON,INDAYAGAN,No Data,Shelter Repair Kit,No Data,No Data,Planned,61900000,619,61907000,No Data,No Data,1592,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,BATAN,All target areas,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60404000,No Data,No Data,19320,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,ALTAVAS,All target areas,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60401000,No Data,No Data,16100,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NEW WASHINGTON,All target areas,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60415000,No Data,No Data,4600,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MADALAG,Napnot,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60410000,No Data,No Data,810,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MADALAG,Alaminos,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60410000,No Data,No Data,865,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MADALAG,Balactasan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60410000,No Data,No Data,309,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MADALAG,Ginatuan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60410000,No Data,No Data,309,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MADALAG,Tigbauan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60410000,No Data,No Data,451,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,Cogon,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,387,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,San Ramon,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,658,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,San Dimas,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,594,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,San Roque,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,874,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,Navitas,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,764,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,Kinalangay Viejo,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,1344,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,Kinalangay Nuevo,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,727,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,Tambuan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,1035,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,Dangcalan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,506,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,MALINAO,Bulabod,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60413000,No Data,No Data,1137,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Tamalgon,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,957,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Pudiot,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,1035,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Baybay,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,861,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Dapdap,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,479,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Dumatad,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,267,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Afga,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,856,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Tondog,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,888,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Jawili,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,810,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Tagas,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,1426,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,TANGALAN,Panayakan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60417000,No Data,No Data,1265,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Solido,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,838,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Magallanes,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,161,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Matabana,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,470,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Buenafortuna,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,520,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Buenaswerte,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,953,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Nagustan,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,948,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Toledo,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,424,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Laserna,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,479,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Gibon,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,690,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Habana,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,948,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),AKLAN,NAVAS,Libertad,No Data,Shelter Repair Kit,No Data,No Data,Planned,60400000,604,60414000,No Data,No Data,847,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,BOTONGON,No Data,NFI - kitchen sets,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,4315,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,DACULAN,No Data,NFI - kitchen sets,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,1831,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,GOGO,No Data,NFI - kitchen sets,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,2760,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ILOILO,ESTANCIA,PAON,No Data,NFI - kitchen sets,No Data,No Data,Planned,63000000,630,63019000,No Data,No Data,2995,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Paliwan,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,810,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Cubay South,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,654,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Pojo,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,948,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Cubay North,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,773,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Talisay,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,497,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Bagtason,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,391,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Igbalangao,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,635,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Ilaya,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,989,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Maray,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,253,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BUGASONG,Sabang East,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60604000,No Data,No Data,368,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Lindero,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,1449,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Guisijan,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,1569,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Casit-an,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,690,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Cadahug,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,667,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Poblacion,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,874,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,LAUA-AN,Oloc,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60609000,No Data,No Data,663,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Capuyuan,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,1127,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Jinalinan,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,1091,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Poblacion,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,1003,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Palma,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,483,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),ANTIQUE,BARBAZA,Ipil,No Data,NFI - kitchen sets,No Data,No Data,Planned,60600000,606,60602000,No Data,No Data,920,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PRESIDENT ROXAS,BADIANGON,No Data,NFI - kitchen sets,No Data,No Data,Planned,61900000,619,61913000,No Data,No Data,2287,,
WVI,Emergency Shelter,No Data,Philippines,REGION VI (WESTERN VISAYAS),CAPIZ,PRESIDENT ROXAS,VIZCAYA,No Data,NFI - kitchen sets,No Data,No Data,Planned,61900000,619,61913000,No Data,No Data,2632,,
